Tank_num,Date / Time,pH Value,mV Value,Temperature,Average Slope,Date / Time,Salinity Value,Conductance Value,Temperature,Salinity Type,Reference Temperature,Cell Constant,Date / Time,Concentration Value,Saturation Value,Partial Pressure,Solution Temperature,Barometric Pressure,Salinity Correction,Slope
15,7/28/2024 15:33,7.52 pH,-23.4 mV,30.5 째C,99.90%,7/28/2024 15:33,10.96 psu,43.14 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:33,1.12 mg/L,15.7 % sat,22.8 Torr,30.3 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
14,7/28/2024 15:36,7.38 pH,-15.0 mV,30.5 째C,99.90%,7/28/2024 15:36,10.96 psu,43.18 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:36,1.43 mg/L,20.0 % sat,29.1 Torr,30.3 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
13,7/28/2024 15:37,7.36 pH,-13.5 mV,30.5 째C,99.90%,7/28/2024 15:37,10.96 psu,43.16 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:37,1.06 mg/L,14.9 % sat,21.6 Torr,30.4 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
12,7/28/2024 15:39,7.42 pH,-17.2 mV,27.5 째C,99.90%,7/28/2024 15:39,10.96 psu,40.82 mS,27.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:39,0.99 mg/L,13.2 % sat,19.3 Torr,27.6 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
11,7/28/2024 15:40,7.50 pH,-22.0 mV,27.9 째C,99.90%,7/28/2024 15:40,10.96 psu,41.10 mS,27.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:40,0.54 mg/L,7.3 % sat,10.6 Torr,27.9 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
10,7/28/2024 15:42,7.55 pH,-24.7 mV,28.1 째C,99.90%,7/28/2024 15:42,10.96 psu,41.23 mS,28.1 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:42,0.64 mg/L,8.7 % sat,12.7 Torr,28.0 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
9,7/28/2024 15:43,7.57 pH,-25.8 mV,28.2 째C,99.90%,7/28/2024 15:43,10.94 psu,41.24 mS,28.2 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:43,0.68 mg/L,9.2 % sat,13.5 Torr,28.1 째C,763.0 mmHg,10.9 ppt,1.474 Torr/%Sat
8,7/28/2024 15:45,7.54 pH,-24.5 mV,28.1 째C,99.90%,7/28/2024 15:45,10.95 psu,41.23 mS,28.1 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:45,0.61 mg/L,8.2 % sat,12.1 Torr,28.0 째C,763.0 mmHg,10.9 ppt,1.474 Torr/%Sat
7,7/28/2024 15:47,7.54 pH,-24.4 mV,28.0 째C,99.90%,7/28/2024 15:47,10.95 psu,41.17 mS,28.0 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:47,0.60 mg/L,8.1 % sat,11.8 Torr,27.9 째C,763.0 mmHg,10.9 ppt,1.474 Torr/%Sat
6,7/28/2024 15:48,7.62 pH,-29.0 mV,28.2 째C,99.90%,7/28/2024 15:48,10.94 psu,41.26 mS,28.2 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:48,6.77 mg/L,91.4 % sat,133.8 Torr,28.1 째C,763.0 mmHg,10.9 ppt,1.474 Torr/%Sat
5,7/28/2024 15:49,7.59 pH,-26.9 mV,28.0 째C,99.90%,7/28/2024 15:49,10.94 psu,41.11 mS,28.0 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:49,6.81 mg/L,91.8 % sat,134.4 Torr,27.9 째C,763.0 mmHg,10.9 ppt,1.474 Torr/%Sat
4,7/28/2024 15:50,7.58 pH,-26.7 mV,28.0 째C,99.90%,7/28/2024 15:50,10.96 psu,41.18 mS,28.0 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:50,6.80 mg/L,91.6 % sat,134.2 Torr,27.9 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
3,7/28/2024 15:50,7.57 pH,-25.8 mV,28.0 째C,99.90%,7/28/2024 15:50,10.96 psu,41.20 mS,28.0 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:50,6.77 mg/L,91.3 % sat,133.7 Torr,27.9 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
2,7/28/2024 15:51,7.54 pH,-24.3 mV,28.1 째C,99.90%,7/28/2024 15:51,10.95 psu,41.26 mS,28.1 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:51,6.69 mg/L,90.3 % sat,132.3 Torr,28.0 째C,763.0 mmHg,11.0 ppt,1.474 Torr/%Sat
1,7/28/2024 15:52,7.60 pH,-27.8 mV,28.1 째C,99.90%,7/28/2024 15:52,10.95 psu,41.20 mS,28.1 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/28/2024 15:52,6.76 mg/L,91.2 % sat,133.7 Torr,28.0 째C,763.0 mmHg,10.9 ppt,1.474 Torr/%Sat
1,7/29/2024 8:55,7.67 pH,-32.1 mV,27.6 째C,99.00%,7/29/2024 8:55,11.00 psu,40.98 mS,27.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 8:55,6.73 mg/L,90.4 % sat,131.6 Torr,27.6 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
2,7/29/2024 8:56,7.96 pH,-49.1 mV,27.6 째C,99.00%,7/29/2024 8:56,11.03 psu,41.07 mS,27.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 8:56,6.80 mg/L,91.4 % sat,133.1 Torr,27.6 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
3,7/29/2024 8:57,7.66 pH,-31.5 mV,27.6 째C,99.00%,7/29/2024 8:57,11.01 psu,41.03 mS,27.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 8:57,6.61 mg/L,88.7 % sat,129.1 Torr,27.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
4,7/29/2024 8:58,7.65 pH,-31.0 mV,27.5 째C,99.00%,7/29/2024 8:58,11.03 psu,41.05 mS,27.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 8:58,6.75 mg/L,90.5 % sat,131.7 Torr,27.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
5,7/29/2024 8:59,7.66 pH,-31.4 mV,27.5 째C,99.00%,7/29/2024 8:59,11.01 psu,40.96 mS,27.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 8:59,6.75 mg/L,90.4 % sat,131.7 Torr,27.4 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
6,7/29/2024 9:00,7.92 pH,-46.9 mV,27.6 째C,99.00%,7/29/2024 9:00,11.01 psu,41.04 mS,27.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:00,6.75 mg/L,90.5 % sat,131.8 Torr,27.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
7,7/29/2024 9:01,7.61 pH,-28.8 mV,27.6 째C,99.00%,7/29/2024 9:01,11.01 psu,41.03 mS,27.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:01,6.69 mg/L,89.7 % sat,130.6 Torr,27.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
8,7/29/2024 9:02,7.66 pH,-31.4 mV,27.7 째C,99.00%,7/29/2024 9:02,11.01 psu,41.08 mS,27.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:02,6.70 mg/L,90.0 % sat,131.0 Torr,27.6 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
9,7/29/2024 9:03,7.69 pH,-33.3 mV,27.7 째C,99.00%,7/29/2024 9:03,11.01 psu,41.11 mS,27.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:03,6.72 mg/L,90.3 % sat,131.4 Torr,27.6 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
10,7/29/2024 9:05,7.99 pH,-51.0 mV,27.7 째C,99.00%,7/29/2024 9:05,11.00 psu,41.06 mS,27.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:05,6.63 mg/L,89.0 % sat,129.6 Torr,27.6 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
11,7/29/2024 9:06,7.65 pH,-31.1 mV,27.6 째C,99.00%,7/29/2024 9:06,11.01 psu,41.02 mS,27.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:06,6.77 mg/L,90.8 % sat,132.2 Torr,27.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
12,7/29/2024 9:07,7.66 pH,-31.7 mV,27.6 째C,99.00%,7/29/2024 9:07,11.00 psu,41.03 mS,27.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:07,6.57 mg/L,88.1 % sat,128.3 Torr,27.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
13,7/29/2024 9:09,7.62 pH,-29.7 mV,30.6 째C,99.00%,7/29/2024 9:09,11.00 psu,43.40 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:09,6.16 mg/L,86.7 % sat,125.3 Torr,30.4 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
14,7/29/2024 9:10,7.60 pH,-28.6 mV,30.7 째C,99.00%,7/29/2024 9:10,11.00 psu,43.46 mS,30.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:10,6.30 mg/L,88.8 % sat,128.4 Torr,30.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
15,7/29/2024 9:10,7.57 pH,-26.4 mV,30.5 째C,99.00%,7/29/2024 9:10,10.99 psu,43.26 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:10,6.32 mg/L,88.8 % sat,128.5 Torr,30.3 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
16,7/29/2024 9:11,7.61 pH,-28.9 mV,30.5 째C,99.00%,7/29/2024 9:11,11.01 psu,43.36 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:11,6.33 mg/L,89.1 % sat,128.9 Torr,30.4 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
17,7/29/2024 9:13,7.63 pH,-30.3 mV,30.6 째C,99.00%,7/29/2024 9:13,10.99 psu,43.33 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:13,6.16 mg/L,86.7 % sat,125.3 Torr,30.4 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
18,7/29/2024 9:14,7.59 pH,-27.6 mV,30.6 째C,99.00%,7/29/2024 9:14,10.99 psu,43.35 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:14,6.05 mg/L,85.3 % sat,123.3 Torr,30.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
19,7/29/2024 9:16,7.61 pH,-28.9 mV,30.6 째C,99.00%,7/29/2024 9:16,10.99 psu,43.33 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:16,6.00 mg/L,84.5 % sat,122.1 Torr,30.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
20,7/29/2024 9:17,7.58 pH,-27.0 mV,30.6 째C,99.00%,7/29/2024 9:17,10.99 psu,43.39 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:17,6.12 mg/L,86.4 % sat,124.8 Torr,30.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
21,7/29/2024 9:17,7.94 pH,-48.7 mV,30.6 째C,99.00%,7/29/2024 9:17,10.99 psu,43.40 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:17,6.25 mg/L,88.2 % sat,127.5 Torr,30.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
22,7/29/2024 9:18,7.58 pH,-27.1 mV,30.5 째C,99.00%,7/29/2024 9:18,10.98 psu,43.28 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:18,6.16 mg/L,86.8 % sat,125.5 Torr,30.4 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
23,7/29/2024 9:19,7.61 pH,-29.2 mV,30.6 째C,99.00%,7/29/2024 9:19,11.00 psu,43.41 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:19,6.26 mg/L,88.3 % sat,127.6 Torr,30.5 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
24,7/29/2024 9:19,7.61 pH,-29.2 mV,30.6 째C,99.00%,7/29/2024 9:19,11.00 psu,43.43 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 9:19,6.27 mg/L,88.5 % sat,128.0 Torr,30.6 째C,761.0 mmHg,11.0 ppt,1.465 Torr/%Sat
1,7/29/2024 15:17,7.67 pH,-31.9 mV,27.8 째C,98.70%,7/29/2024 15:17,11.07 psu,41.40 mS,27.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:17,6.52 mg/L,87.8 % sat,127.6 Torr,27.5 째C,759.0 mmHg,11.1 ppt,1.466 Torr/%Sat
2,7/29/2024 15:18,7.62 pH,-28.6 mV,27.8 째C,98.70%,7/29/2024 15:18,11.07 psu,41.41 mS,27.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:18,6.43 mg/L,86.8 % sat,126.2 Torr,27.7 째C,759.0 mmHg,11.1 ppt,1.466 Torr/%Sat
3,7/29/2024 15:19,7.63 pH,-29.3 mV,27.7 째C,98.70%,7/29/2024 15:19,11.06 psu,41.30 mS,27.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:19,6.43 mg/L,86.7 % sat,126.1 Torr,27.6 째C,759.0 mmHg,11.1 ppt,1.466 Torr/%Sat
4,7/29/2024 15:21,7.65 pH,-30.3 mV,27.7 째C,98.70%,7/29/2024 15:21,11.06 psu,41.31 mS,27.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:21,6.53 mg/L,88.0 % sat,127.9 Torr,27.6 째C,759.0 mmHg,11.1 ppt,1.466 Torr/%Sat
5,7/29/2024 15:23,7.65 pH,-30.6 mV,27.7 째C,98.70%,7/29/2024 15:23,11.05 psu,41.28 mS,27.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:23,6.48 mg/L,87.3 % sat,127.0 Torr,27.6 째C,759.0 mmHg,11.1 ppt,1.466 Torr/%Sat
6,7/29/2024 15:24,7.66 pH,-31.1 mV,27.8 째C,98.70%,7/29/2024 15:24,11.06 psu,41.36 mS,27.8 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:24,6.57 mg/L,88.7 % sat,128.9 Torr,27.7 째C,759.0 mmHg,11.1 ppt,1.466 Torr/%Sat
7,7/29/2024 15:27,7.73 pH,-35.3 mV,27.7 째C,98.70%,7/29/2024 15:27,11.06 psu,41.26 mS,27.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:27,0.41 mg/L,5.5 % sat,8.0 Torr,27.6 째C,759.0 mmHg,11.1 ppt,1.466 Torr/%Sat
8,7/29/2024 15:30,7.73 pH,-35.3 mV,27.7 째C,98.70%,7/29/2024 15:30,11.05 psu,41.27 mS,27.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:30,0.39 mg/L,5.3 % sat,7.7 Torr,27.6 째C,759.0 mmHg,11.1 ppt,1.466 Torr/%Sat
9,7/29/2024 15:32,7.73 pH,-34.8 mV,27.7 째C,98.70%,7/29/2024 15:32,11.05 psu,41.28 mS,27.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:32,0.34 mg/L,4.6 % sat,6.7 Torr,27.6 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
10,7/29/2024 15:35,7.73 pH,-35.4 mV,27.7 째C,98.70%,7/29/2024 15:35,11.05 psu,41.25 mS,27.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:35,0.35 mg/L,4.7 % sat,6.9 Torr,27.6 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
11,7/29/2024 15:37,7.73 pH,-35.2 mV,27.6 째C,98.70%,7/29/2024 15:37,11.04 psu,41.18 mS,27.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:37,0.32 mg/L,4.3 % sat,6.3 Torr,27.5 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
12,7/29/2024 15:40,7.74 pH,-35.6 mV,27.7 째C,98.70%,7/29/2024 15:40,11.04 psu,41.24 mS,27.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:40,0.37 mg/L,5.0 % sat,7.2 Torr,27.6 째C,760.0 mmHg,11.0 ppt,1.466 Torr/%Sat
13,7/29/2024 15:43,7.64 pH,-30.3 mV,30.6 째C,98.70%,7/29/2024 15:43,11.05 psu,43.58 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:43,0.26 mg/L,3.7 % sat,5.4 Torr,30.5 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
14,7/29/2024 15:45,7.65 pH,-31.0 mV,30.5 째C,98.70%,7/29/2024 15:45,11.03 psu,43.45 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:45,0.55 mg/L,7.8 % sat,11.2 Torr,30.4 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
15,7/29/2024 15:47,7.63 pH,-29.7 mV,30.4 째C,98.70%,7/29/2024 15:47,11.03 psu,43.33 mS,30.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:47,0.67 mg/L,9.5 % sat,13.8 Torr,30.3 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
16,7/29/2024 15:50,7.63 pH,-29.6 mV,30.6 째C,98.70%,7/29/2024 15:50,11.04 psu,43.57 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:50,0.30 mg/L,4.3 % sat,6.2 Torr,30.5 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
17,7/29/2024 15:52,7.59 pH,-27.0 mV,30.5 째C,98.70%,7/29/2024 15:52,11.04 psu,43.47 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:52,0.48 mg/L,6.8 % sat,9.9 Torr,30.4 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
18,7/29/2024 15:55,7.62 pH,-28.9 mV,30.6 째C,98.70%,7/29/2024 15:55,11.04 psu,43.55 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:55,0.18 mg/L,2.5 % sat,3.6 Torr,30.5 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
19,7/29/2024 15:57,7.58 pH,-26.6 mV,30.6 째C,98.70%,7/29/2024 15:57,11.03 psu,43.53 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 15:57,5.78 mg/L,81.8 % sat,118.1 Torr,30.5 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
20,7/29/2024 16:00,7.58 pH,-26.7 mV,30.7 째C,98.70%,7/29/2024 16:00,11.03 psu,43.54 mS,30.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 16:00,5.65 mg/L,80.0 % sat,115.4 Torr,30.6 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
21,7/29/2024 16:02,7.61 pH,-28.7 mV,30.7 째C,98.70%,7/29/2024 16:02,11.03 psu,43.56 mS,30.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 16:02,5.87 mg/L,83.1 % sat,119.9 Torr,30.6 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
22,7/29/2024 16:04,7.64 pH,-30.5 mV,30.7 째C,98.70%,7/29/2024 16:04,11.03 psu,43.62 mS,30.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 16:04,5.93 mg/L,84.0 % sat,121.3 Torr,30.6 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
23,7/29/2024 16:05,7.61 pH,-28.5 mV,30.7 째C,98.70%,7/29/2024 16:05,11.03 psu,43.58 mS,30.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 16:05,5.92 mg/L,83.8 % sat,121.0 Torr,30.6 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
24,7/29/2024 16:07,7.58 pH,-26.9 mV,30.7 째C,98.70%,7/29/2024 16:07,11.02 psu,43.54 mS,30.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/29/2024 16:07,5.83 mg/L,82.5 % sat,119.1 Torr,30.5 째C,759.0 mmHg,11.0 ppt,1.466 Torr/%Sat
24,7/30/2024 9:00,7.50 pH,-23.6 mV,30.4 째C,97.70%,7/30/2024 9:00,11.11 psu,43.64 mS,30.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:00,5.85 mg/L,82.3 % sat,119.5 Torr,30.2 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
23,7/30/2024 9:02,7.52 pH,-24.3 mV,30.5 째C,97.70%,7/30/2024 9:02,11.09 psu,43.63 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:02,5.90 mg/L,83.2 % sat,120.8 Torr,30.4 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
22,7/30/2024 9:04,7.54 pH,-25.5 mV,30.6 째C,97.70%,7/30/2024 9:04,11.08 psu,43.70 mS,30.6 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:04,5.88 mg/L,83.0 % sat,120.5 Torr,30.5 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
21,7/30/2024 9:06,7.52 pH,-24.6 mV,30.5 째C,97.70%,7/30/2024 9:06,11.08 psu,43.62 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:06,5.87 mg/L,82.8 % sat,120.2 Torr,30.4 째C,761.0 mmHg,11.1 ppt,1.474 Torr/%Sat
20,7/30/2024 9:08,7.52 pH,-24.7 mV,30.5 째C,97.70%,7/30/2024 9:08,11.08 psu,43.61 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:08,5.90 mg/L,83.2 % sat,120.7 Torr,30.4 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
19,7/30/2024 9:09,7.52 pH,-24.6 mV,30.5 째C,97.70%,7/30/2024 9:09,11.08 psu,43.57 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:09,5.91 mg/L,83.3 % sat,120.9 Torr,30.4 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
18,7/30/2024 9:13,7.53 pH,-25.2 mV,30.4 째C,97.70%,7/30/2024 9:13,11.10 psu,43.63 mS,30.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:13,5.57 mg/L,78.4 % sat,113.9 Torr,30.3 째C,761.0 mmHg,11.1 ppt,1.474 Torr/%Sat
17,7/30/2024 9:15,7.50 pH,-23.3 mV,30.3 째C,97.70%,7/30/2024 9:15,11.09 psu,43.48 mS,30.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:15,5.53 mg/L,77.8 % sat,112.9 Torr,30.2 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
16,7/30/2024 9:17,7.57 pH,-27.2 mV,30.5 째C,97.70%,7/30/2024 9:17,11.09 psu,43.68 mS,30.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:17,5.88 mg/L,83.0 % sat,120.5 Torr,30.5 째C,761.0 mmHg,11.1 ppt,1.474 Torr/%Sat
15,7/30/2024 9:19,7.42 pH,-18.7 mV,29.9 째C,97.70%,7/30/2024 9:19,11.07 psu,43.07 mS,29.9 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:19,5.38 mg/L,75.1 % sat,109.2 Torr,29.8 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
14,7/30/2024 9:21,7.34 pH,-14.2 mV,29.7 째C,97.70%,7/30/2024 9:21,11.07 psu,42.94 mS,29.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:21,4.84 mg/L,67.3 % sat,97.9 Torr,29.5 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
13,7/30/2024 9:23,7.60 pH,-29.2 mV,30.7 째C,97.70%,7/30/2024 9:23,11.09 psu,43.83 mS,30.7 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:23,6.12 mg/L,86.6 % sat,125.6 Torr,30.6 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
12,7/30/2024 9:24,7.59 pH,-28.3 mV,27.5 째C,97.70%,7/30/2024 9:24,11.07 psu,41.22 mS,27.5 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:24,6.64 mg/L,89.3 % sat,130.6 Torr,27.6 째C,761.0 mmHg,11.1 ppt,1.474 Torr/%Sat
11,7/30/2024 9:26,7.59 pH,-28.2 mV,27.3 째C,97.70%,7/30/2024 9:26,11.09 psu,41.10 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:26,6.55 mg/L,87.7 % sat,128.3 Torr,27.3 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
10,7/30/2024 9:27,7.60 pH,-29.0 mV,27.4 째C,97.70%,7/30/2024 9:27,11.09 psu,41.16 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:27,6.53 mg/L,87.4 % sat,127.7 Torr,27.3 째C,761.0 mmHg,11.1 ppt,1.474 Torr/%Sat
9,7/30/2024 9:28,7.57 pH,-27.2 mV,27.4 째C,97.70%,7/30/2024 9:28,11.09 psu,41.17 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:28,6.67 mg/L,89.3 % sat,130.6 Torr,27.3 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
8,7/30/2024 9:29,7.56 pH,-26.3 mV,27.4 째C,97.70%,7/30/2024 9:29,11.10 psu,41.15 mS,27.4 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:29,6.67 mg/L,89.3 % sat,130.5 Torr,27.3 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
7,7/30/2024 9:31,7.57 pH,-27.3 mV,27.3 째C,97.70%,7/30/2024 9:31,11.09 psu,41.10 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:31,6.31 mg/L,84.4 % sat,123.5 Torr,27.3 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
6,7/30/2024 9:33,7.60 pH,-29.0 mV,27.3 째C,97.70%,7/30/2024 9:33,11.09 psu,41.11 mS,27.3 째C,Practical Salinity,15.0 째C,0.4750 /cm,7/30/2024 9:33,6.54 mg/L,87.5 % sat,128.0 Torr,27.3 째C,760.0 mmHg,11.1 ppt,1.474 Torr/%Sat
