,Date_MMDDYYYY,Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Sample_Name,Submerged_weight_pre,Dry_weight_pre,Notes,Tag,P2Treatment,Shell#,Area_pre_mm2,Feret_pre_mm,NotesShell_Pre
1348,7/25/24,2024,Hyp,2,Warm,5,B,52,2024_Hyp02_Warm05_B52,99.8,265.7,,B52,Warm5,40,119.3,15.2,
145,7/25/24,2024,Hyp,3,Both,5,B,53,2024_Hyp03_Both05_B53,111.8,299.6,,B53,Both5,30,116.8,14.9,
700,7/25/24,2024,Hyp,3,Cont,5,B,53,2024_Hyp03_Cont05_B53,227.3,590.7,,B53,Cont5,29,270.3,20.4,
1043,7/25/24,2024,Hyp,3,Hyp,5,B,53,2024_Hyp03_Hyp05_B53,233.5,605.8,,B53,Hyp5,38,189.4,18.8,
556,7/25/24,2024,Hyp,3,Warm,5,B,53,2024_Hyp03_Warm05_B53,189,442.8,,B53,Warm5,11,210.2,18.5,
135,7/25/24,2024,Hyp,3,Both,5,B,54,2024_Hyp03_Both05_B54,97.7,260.8,,B54,Both5,32,95,14.4,
703,7/25/24,2024,Hyp,3,Cont,5,B,54,2024_Hyp03_Cont05_B54,209.6,533.9,,B54,Cont5,3,220.4,18.8,
1032,7/25/24,2024,Hyp,3,Hyp,5,B,54,2024_Hyp03_Hyp05_B54,234.4,595.7,,B54,Hyp5,45,228.4,19.9,
597,7/25/24,2024,Hyp,3,Warm,5,B,54,2024_Hyp03_Warm05_B54,195.6,479.5,,B54,Warm5,17,181.8,18.3,
283,7/25/24,2024,Hyp,4,Both,5,B,55,2024_Hyp04_Both05_B55,144.4,363.1,,B55,Both5,2,177.2,16.3,
107,7/25/24,2024,Hyp,4,Cont,5,B,55,2024_Hyp04_Cont05_B55,91.9,240.5,,B55,Cont5,46,139.6,15.2,
1053,7/25/24,2024,Hyp,4,Hyp,5,B,55,2024_Hyp04_Hyp05_B55,613.3,1428.5,wet,B55,Hyp5,37,389.3,26.4,
1361,7/25/24,2024,Hyp,4,Warm,5,B,55,2024_Hyp04_Warm05_B55,130.7,333.7,,B55,Warm5,36,137.6,14.9,
289,7/25/24,2024,Hyp,4,Both,5,B,56,2024_Hyp04_Both05_B56,301.6,648.5,,B56,Both5,44,265.4,20.5,
711,7/25/24,2024,Hyp,4,Cont,5,B,56,2024_Hyp04_Cont05_B56,242.8,669.7,,B56,Cont5,1,141.1,14.7,
121,7/25/24,2024,Hyp,4,Hyp,5,B,56,2024_Hyp04_Hyp05_B56,93.4,254.2,,B56,Hyp5,30,113.2,14.1,
696,7/25/24,2024,Hyp,4,Warm,5,B,56,2024_Hyp04_Warm05_B56,196.1,495.1,,B56,Warm5,8,215.3,19.8,
128,7/25/24,2024,Hyp,5,Both,5,B,57,2024_Hyp05_Both05_B57,100.4,259.4,,B57,Both5,12,119.6,15.2,
358,7/25/24,2024,Hyp,5,Cont,5,B,57,2024_Hyp05_Cont05_B57,144.7,400,,B57,Cont5,41,196.4,18.2,
1061,7/25/24,2024,Hyp,5,Hyp,5,B,57,2024_Hyp05_Hyp05_B57,357.5,816.4,,B57,Hyp5,26,292.3,21.5,
1368,7/25/24,2024,Hyp,5,Warm,5,B,57,2024_Hyp05_Warm05_B57,291,751.4,,B57,Warm5,10,312.6,21.6,
371,7/25/24,2024,Hyp,5,Both,5,B,58,2024_Hyp05_Both05_B58,156.7,406.7,,B58,Both5,5,179.4,16.5,
720,7/25/24,2024,Hyp,5,Cont,5,B,58,2024_Hyp05_Cont05_B58,219.6,520.5,,B58,Cont5,27,246.3,19.5,
1062,7/25/24,2024,Hyp,5,Hyp,5,B,58,2024_Hyp05_Hyp05_B58,142.2,325.1,,B58,Hyp5,18,123.8,13.6,
1372,7/25/24,2024,Hyp,5,Warm,5,B,58,2024_Hyp05_Warm05_B58,116.9,288.4,,B58,Warm5,5,128.7,14,
151,7/25/24,2024,Hyp,6,Both,5,B,59,2024_Hyp06_Both05_B59,124.3,306,,B59,Both5,42,98.2,14.1,
311,7/25/24,2024,Hyp,6,Cont,5,B,59,2024_Hyp06_Cont05_B59,148.3,371.9,,B59,Cont5,45,153.8,16.3,
1066,7/25/24,2024,Hyp,6,Hyp,5,B,59,2024_Hyp06_Hyp05_B59,123.6,281.6,,B59,Hyp5,6,139.5,15.6,
,7/25/24,2024,Hyp,6,Warm,5,B,59,2024_Hyp06_Warm05_B59,343.2,975.1,,B59,Warm5,31,351.6,27.1,
1378,7/23/24,2024,Hyp,3,Both,1,B,6,2024_Hyp03_Both01_B6,128.2,340.3,,B6,Both1,35,132.8,14,
22,7/23/24,2024,Hyp,3,Cont,1,B,6,2024_Hyp03_Cont01_B6,80.1,223.8,,B6,Cont1,43,88.6,11.8,
450,7/23/24,2024,Hyp,3,Hyp,1,B,6,2024_Hyp03_Hyp01_B6,438.8,1182.8,,B6,Hyp1,44,344,25.2,
800,7/23/24,2024,Hyp,3,Warm,1,B,6,2024_Hyp03_Warm01_B6,136.9,341.5,,B6,Warm1,47,144.2,17.3,
1164,7/25/24,2024,Hyp,6,Both,5,B,60,2024_Hyp06_Both05_B60,130.9,347.3,,B60,Both5,27,139.7,14.8,
378,7/25/24,2024,Hyp,6,Cont,5,B,60,2024_Hyp06_Cont05_B60,146.2,397.9,,B60,Cont5,15,148,15.6,
355,7/25/24,2024,Hyp,6,Hyp,5,B,60,2024_Hyp06_Hyp05_B60,199,473.9,,B60,Hyp5,32,164.9,16.2,
1070,7/25/24,2024,Hyp,6,Warm,5,B,60,2024_Hyp06_Warm05_B60,115.2,296,,B60,Warm5,29,149.7,15.2,
1381,7/26/24,2024,Hyp,1,Both,6,B,61,2024_Hyp01_Both06_B61,76.2,195.3,,B61,Both6,16,100.4,12.7,
382,7/25/24,2024,Hyp,1,Cont,6,B,61,2024_Hyp01_Cont06_B61,134,342.6,,B61,Cont6,13,171.1,16.8,
730,7/26/24,2024,Hyp,1,Hyp,6,B,61,2024_Hyp01_Hyp06_B61,153,382.2,,B61,Hyp6,37,198.4,17.5,
1074,7/25/24,2024,Hyp,1,Warm,6,B,61,2024_Hyp01_Warm06_B61,159.9,392,,B61,Warm6,43,181.3,17.6,
345,7/26/24,2024,Hyp,1,Both,6,B,62,2024_Hyp01_Both06_B62,276.9,779.8,,B62,Both6,37,374.8,25.1,
387,7/25/24,2024,Hyp,1,Cont,6,B,62,2024_Hyp01_Cont06_B62,447.5,1118.8,wet,B62,Cont6,25,345.3,24.7,
736,7/26/24,2024,Hyp,1,Hyp,6,B,62,2024_Hyp01_Hyp06_B62,334.9,777,,B62,Hyp6,30,254.1,20.2,
1080,7/25/24,2024,Hyp,1,Warm,6,B,62,2024_Hyp01_Warm06_B62,584.5,1457.8,,B62,Warm6,12,513.6,31.2,
1391,7/26/24,2024,Hyp,2,Both,6,B,63,2024_Hyp02_Both06_B63,86.5,216.5,,B63,Both6,6,104.1,12.9,
390,7/25/24,2024,Hyp,2,Cont,6,B,63,2024_Hyp02_Cont06_B63,296.8,717.4,,B63,Cont6,47,281.5,24.6,
738,7/26/24,2024,Hyp,2,Hyp,6,B,63,2024_Hyp02_Hyp06_B63,171.4,414.1,,B63,Hyp6,13,200.6,18.8,
1082,7/25/24,2024,Hyp,2,Warm,6,B,63,2024_Hyp02_Warm06_B63,395.4,1156.2,,B63,Warm6,29,372.9,26.1,
1395,7/26/24,2024,Hyp,2,Both,6,B,64,2024_Hyp02_Both06_B64,143.1,350.5,,B64,Both6,35,170.7,17.6,
396,7/25/24,2024,Hyp,2,Cont,6,B,64,2024_Hyp02_Cont06_B64,129.6,295.5,,B64,Cont6,18,150,15.5,
743,7/26/24,2024,Hyp,2,Hyp,6,B,64,2024_Hyp02_Hyp06_B64,328.3,916.8,,B64,Hyp6,1,329.4,23.5,
1088,7/25/24,2024,Hyp,2,Warm,6,B,64,2024_Hyp02_Warm06_B64,303.7,836.2,,B64,Warm6,32,244.5,23.6,
1399,7/26/24,2024,Hyp,3,Both,6,B,65,2024_Hyp03_Both06_B65,450.7,1284.3,,B65,Both6,43,379.3,26.5,
401,7/25/24,2024,Hyp,3,Cont,6,B,65,2024_Hyp03_Cont06_B65,289.4,751.4,,B65,Cont6,35,339.8,23.7,
747,7/26/24,2024,Hyp,3,Hyp,6,B,65,2024_Hyp03_Hyp06_B65,339.4,828.2,,B65,Hyp6,2,325.7,23.2,
1093,7/25/24,2024,Hyp,3,Warm,6,B,65,2024_Hyp03_Warm06_B65,427.9,979.2,,B65,Warm6,19,310.4,22.7,
1401,7/26/24,2024,Hyp,3,Both,6,B,66,2024_Hyp03_Both06_B66,161,385.1,,B66,Both6,26,164.6,16.7,
403,7/25/24,2024,Hyp,3,Cont,6,B,66,2024_Hyp03_Cont06_B66,55.8,152.5,,B66,Cont6,48,100.9,13.1,
749,7/26/24,2024,Hyp,3,Hyp,6,B,66,2024_Hyp03_Hyp06_B66,324,758.8,,B66,Hyp6,24,260,20.2,
1417,7/25/24,2024,Hyp,3,Warm,6,B,66,2024_Hyp03_Warm06_B66,323.2,842.2,,B66,Warm6,22,349.1,23.5,
1097,7/26/24,2024,Hyp,4,Both,6,B,67,2024_Hyp04_Both06_B67,275.4,706.9,,B67,Both6,3,249.9,20,
409,7/25/24,2024,Hyp,4,Cont,6,B,67,2024_Hyp04_Cont06_B67,195.8,498.8,,B67,Cont6,23,203.1,18.7,
754,7/26/24,2024,Hyp,4,Hyp,6,B,67,2024_Hyp04_Hyp06_B67,207.1,470.7,,B67,Hyp6,15,198,18.6,
1100,7/25/24,2024,Hyp,4,Warm,6,B,67,2024_Hyp04_Warm06_B67,192.7,440.5,,B67,Warm6,16,153.4,16.9,
551,7/26/24,2024,Hyp,4,Both,6,B,68,2024_Hyp04_Both06_B68,430.3,1015.4,,B68,Both6,14,429.1,27.3,
413,7/25/24,2024,Hyp,4,Cont,6,B,68,2024_Hyp04_Cont06_B68,264.4,594.4,,B68,Cont6,8,266,20.9,
760,7/26/24,2024,Hyp,4,Hyp,6,B,68,2024_Hyp04_Hyp06_B68,258.6,588.4,,B68,Hyp6,8,239.2,19.3,
1103,7/25/24,2024,Hyp,4,Warm,6,B,68,2024_Hyp04_Warm06_B68,283.5,692.5,,B68,Warm6,27,205.8,20.8,
1424,7/26/24,2024,Hyp,5,Both,6,B,69,2024_Hyp05_Both06_B69,121.2,294.8,,B69,Both6,22,152.8,15.5,
414,7/25/24,2024,Hyp,5,Cont,6,B,69,2024_Hyp05_Cont06_B69,79.8,206.7,,B69,Cont6,17,117.7,13.7,
761,7/26/24,2024,Hyp,5,Hyp,6,B,69,2024_Hyp05_Hyp06_B69,250.7,605.2,,B69,Hyp6,19,250.3,19.7,
1108,7/25/24,2024,Hyp,5,Warm,6,B,69,2024_Hyp05_Warm06_B69,451.6,1105,,B69,Warm6,35,349.8,30.2,
1429,7/23/24,2024,Hyp,4,Both,1,B,7,2024_Hyp04_Both01_B7,220.2,495.4,,B7,Both1,7,212.2,18.3,
26,7/23/24,2024,Hyp,4,Cont,1,B,7,2024_Hyp04_Cont01_B7,161.6,483.3,,B7,Cont1,9,172.2,17.4,
455,7/23/24,2024,Hyp,4,Hyp,1,B,7,2024_Hyp04_Hyp01_B7,240.6,594.1,,B7,Hyp1,35,218.8,18.2,
802,7/23/24,2024,Hyp,4,Warm,1,B,7,2024_Hyp04_Warm01_B7,199.9,506.4,,B7,Warm1,12,206.5,18.2,
1169,7/26/24,2024,Hyp,5,Both,6,B,70,2024_Hyp05_Both06_B70,158.4,395.3,,B70,Both6,17,154.9,15.7,
419,7/25/24,2024,Hyp,5,Cont,6,B,70,2024_Hyp05_Cont06_B70,155.6,436.1,,B70,Cont6,45,204.8,21,
767,7/26/24,2024,Hyp,5,Hyp,6,B,70,2024_Hyp05_Hyp06_B70,213,533,,B70,Hyp6,16,280.9,21.4,
1111,7/25/24,2024,Hyp,5,Warm,6,B,70,2024_Hyp05_Warm06_B70,208.8,539.5,,B70,Warm6,24,205.8,20.8,
927,7/26/24,2024,Hyp,6,Both,6,B,71,2024_Hyp06_Both06_B71,184.3,479.2,,B71,Both6,2,246.9,20.9,
424,7/25/24,2024,Hyp,6,Cont,6,B,71,2024_Hyp06_Cont06_B71,126.3,325.2,,B71,Cont6,38,146.5,15.8,
770,7/26/24,2024,Hyp,6,Hyp,6,B,71,2024_Hyp06_Hyp06_B71,57.1,156.2,,B71,Hyp6,45,96.9,13.1,
1114,7/25/24,2024,Hyp,6,Warm,6,B,71,2024_Hyp06_Warm06_B71,257,593.9,,B71,Warm6,21,208.3,19,
1024,7/26/24,2024,Hyp,6,Both,6,B,72,2024_Hyp06_Both06_B72,185.9,475,,B72,Both6,9,245.5,19,
427,7/25/24,2024,Hyp,6,Cont,6,B,72,2024_Hyp06_Cont06_B72,143.4,395.9,,B72,Cont6,14,112.4,14.4,
350,7/26/24,2024,Hyp,6,Hyp,6,B,72,2024_Hyp06_Hyp06_B72,195.5,504.8,,B72,Hyp6,28,202.9,19,
1120,7/25/24,2024,Hyp,6,Warm,6,B,72,2024_Hyp06_Warm06_B72,335.6,866.8,,B72,Warm6,15,283,20.6,
665,7/23/24,2024,Hyp,4,Both,1,B,8,2024_Hyp04_Both01_B8,200.3,432,,B8,Both1,39,155.3,15.3,
30,7/23/24,2024,Hyp,4,Cont,1,B,8,2024_Hyp04_Cont01_B8,204,452.7,,B8,Cont1,46,153.7,15.3,
459,7/23/24,2024,Hyp,4,Hyp,1,B,8,2024_Hyp04_Hyp01_B8,159.1,434.1,,B8,Hyp1,42,138.8,15.2,
805,7/23/24,2024,Hyp,4,Warm,1,B,8,2024_Hyp04_Warm01_B8,172.5,445.2,,B8,Warm1,39,171.1,17.1,
562,7/23/24,2024,Hyp,5,Both,1,B,9,2024_Hyp05_Both01_B9,165.3,472.6,,B9,Both1,31,196.7,19.2,
33,7/23/24,2024,Hyp,5,Cont,1,B,9,2024_Hyp05_Cont01_B9,104.6,260.1,,B9,Cont1,35,102,13.9,
132,7/23/24,2024,Hyp,5,Hyp,1,B,9,2024_Hyp05_Hyp01_B9,492.5,1269.9,,B9,Hyp1,33,391.7,27.6,
812,7/23/24,2024,Hyp,5,Warm,1,B,9,2024_Hyp05_Warm01_B9,226.4,611.7,,B9,Warm1,31,261.9,22.3,
1177,7/23/24,2024,Warm,1,Both,1,G,1,2024_Warm01_Both01_G1,323.6,778.4,,G1,Both1,13,271.5,21.5,
4,7/23/24,2024,Warm,1,Cont,1,G,1,2024_Warm01_Cont01_G1,485,1073.4,,G1,Cont1,38,229.2,19.5,
433,7/23/24,2024,Warm,1,Hyp,1,G,1,2024_Warm01_Hyp01_G1,301.1,770.9,,G1,Hyp1,19,280.8,22.1,
778,7/23/24,2024,Warm,1,Warm,1,G,1,2024_Warm01_Warm01_G1,334.3,928.4,,G1,Warm1,29,282.4,22.3,
1147,7/23/24,2024,Warm,5,Both,1,G,10,2024_Warm05_Both01_G10,210.2,504.4,,G10,Both1,14,188,18.4,
40,7/23/24,2024,Warm,5,Cont,1,G,10,2024_Warm05_Cont01_G10,85.9,214,,G10,Cont1,42,100.8,13.7,
466,7/23/24,2024,Warm,5,Hyp,1,G,10,2024_Warm05_Hyp01_G10,290.9,721.2,,G10,Hyp1,22,240.3,19.4,
816,7/23/24,2024,Warm,5,Warm,1,G,10,2024_Warm05_Warm01_G10,162.1,373.4,,G10,Warm1,38,152.1,15.4,
312,7/23/24,2024,Warm,6,Both,1,G,11,2024_Warm06_Both01_G11,438.9,1050.9,,G11,Both1,9,200.5,17.4,
44,7/23/24,2024,Warm,6,Cont,1,G,11,2024_Warm06_Cont01_G11,296.5,717.1,,G11,Cont1,37,233.1,19.1,
472,7/23/24,2024,Warm,6,Hyp,1,G,11,2024_Warm06_Hyp01_G11,194.6,433.3,,G11,Hyp1,28,169.9,16.5,
817,7/23/24,2024,Warm,6,Warm,1,G,11,2024_Warm06_Warm01_G11,548.9,1230.4,,G11,Warm1,20,335.5,23.6,
1186,7/23/24,2024,Warm,6,Both,1,G,12,2024_Warm06_Both01_G12,160.4,395.4,,G12,Both1,29,147,15.9,
46,7/23/24,2024,Warm,6,Cont,1,G,12,2024_Warm06_Cont01_G12,240.9,577.2,,G12,Cont1,45,177.7,18.1,
476,7/23/24,2024,Warm,6,Hyp,1,G,12,2024_Warm06_Hyp01_G12,173.1,506.8,,G12,Hyp1,26,181.8,17.4,
822,7/23/24,2024,Warm,6,Warm,1,G,12,2024_Warm06_Warm01_G12,213.3,736.1,,G12,Warm1,40,334,24.6,
1191,7/23/24,2024,Warm,1,Both,2,G,13,2024_Warm01_Both02_G13,391.7,1050.5,,G13,Both2,21,407.1,29,
52,7/23/24,2024,Warm,1,Cont,2,G,13,2024_Warm01_Cont02_G13,301.1,830.5,,G13,Cont2,24,339.4,24.6,
478,7/23/24,2024,Warm,1,Hyp,2,G,13,2024_Warm01_Hyp02_G13,197.5,587.5,,G13,Hyp2,13,280.6,22.3,
825,7/23/24,2024,Warm,1,Warm,2,G,13,2024_Warm01_Warm02_G13,457.1,1086.4,,G13,Warm2,6,297.1,22.1,
1195,7/23/24,2024,Warm,1,Both,2,G,14,2024_Warm01_Both02_G14,145.9,359.7,,G14,Both2,12,164.4,16.3,
54,7/23/24,2024,Warm,1,Cont,2,G,14,2024_Warm01_Cont02_G14,506,1175.9,,G14,Cont2,13,312,22,
483,7/23/24,2024,Warm,1,Hyp,2,G,14,2024_Warm01_Hyp02_G14,968.8,2503.6,,G14,Hyp2,2,804.5,37.1,
832,7/23/24,2024,Warm,1,Warm,2,G,14,2024_Warm01_Warm02_G14,210.2,569.1,,G14,Warm2,26,201.7,18.9,
1198,7/23/24,2024,Warm,2,Both,2,G,15,2024_Warm02_Both02_G15,326.6,965.6,,G15,Both2,15,407.2,25.3,
59,7/23/24,2024,Warm,2,Cont,2,G,15,2024_Warm02_Cont02_G15,469.5,1233.4,,G15,Cont2,33,304.8,22.5,
488,7/23/24,2024,Warm,2,Hyp,2,G,15,2024_Warm02_Hyp02_G15,421.9,1239.4,,G15,Hyp2,9,561.8,31.3,
836,7/23/24,2024,Warm,2,Warm,2,G,15,2024_Warm02_Warm02_G15,230.5,731.9,,G15,Warm2,13,231.4,18.6,
1202,7/23/24,2024,Warm,2,Both,2,G,16,2024_Warm02_Both02_G16,381.1,1107,,G16,Both2,5,381.3,24.8,
63,7/23/24,2024,Warm,2,Cont,2,G,16,2024_Warm02_Cont02_G16,266.9,870.7,,G16,Cont2,39,365.6,26,
492,7/23/24,2024,Warm,2,Hyp,2,G,16,2024_Warm02_Hyp02_G16,332,810.1,,G16,Hyp2,3,271.8,21.4,
839,7/23/24,2024,Warm,2,Warm,2,G,16,2024_Warm02_Warm02_G16,149.1,334.3,,G16,Warm2,8,133.5,14.2,
1204,7/23/24,2024,Warm,3,Both,2,G,17,2024_Warm03_Both02_G17,166.7,467.7,,G17,Both2,34,171.6,19.1,
65,7/23/24,2024,Warm,3,Cont,2,G,17,2024_Warm03_Cont02_G17,602,1674.6,,G17,Cont2,14,447.4,29.9,
497,7/23/24,2024,Warm,3,Hyp,2,G,17,2024_Warm03_Hyp02_G17,461.8,1187.3,,G17,Hyp2,37,417.2,28.8,
843,7/23/24,2024,Warm,3,Warm,2,G,17,2024_Warm03_Warm02_G17,254.6,729.6,,G17,Warm2,24,216.1,20.3,
1210,7/23/24,2024,Warm,3,Both,2,G,18,2024_Warm03_Both02_G18,238.9,683.3,,G18,Both2,33,291.6,22.8,
70,7/23/24,2024,Warm,3,Cont,2,G,18,2024_Warm03_Cont02_G18,255,718.3,,G18,Cont2,31,294.4,21.7,
498,7/23/24,2024,Warm,3,Hyp,2,G,18,2024_Warm03_Hyp02_G18,520.4,1367.6,,G18,Hyp2,25,446.4,28.9,
847,7/23/24,2024,Warm,3,Warm,2,G,18,2024_Warm03_Warm02_G18,215.9,542.5,,G18,Warm2,16,203.3,19.5,
1213,7/23/24,2024,Warm,4,Both,2,G,19,2024_Warm04_Both02_G19,404.4,1048.4,,G19,Both2,16,387.2,26.3,
76,7/23/24,2024,Warm,4,Cont,2,G,19,2024_Warm04_Cont02_G19,148.7,381.3,,G19,Cont2,6,188.6,18.3,
323,7/23/24,2024,Warm,4,Hyp,2,G,19,2024_Warm04_Hyp02_G19,429.7,1035.1,,G19,Hyp2,34,299,23.3,
852,7/23/24,2024,Warm,4,Warm,2,G,19,2024_Warm04_Warm02_G19,213.6,532.9,,G19,Warm2,9,195.9,18.1,
914,7/23/24,2024,Warm,1,Both,1,G,2,2024_Warm01_Both01_G2,219.6,514.3,,G2,Both1,5,139.6,16.3,
6,7/23/24,2024,Warm,1,Cont,1,G,2,2024_Warm01_Cont01_G2,281.2,702.8,,G2,Cont1,21,194.5,17.6,
437,7/23/24,2024,Warm,1,Hyp,1,G,2,2024_Warm01_Hyp01_G2,142.2,407.4,,G2,Hyp1,9,223.2,19.2,
783,7/23/24,2024,Warm,1,Warm,1,G,2,2024_Warm01_Warm01_G2,126.6,316,,G2,Warm1,33,153,16.1,
1150,7/23/24,2024,Warm,4,Both,2,G,20,2024_Warm04_Both02_G20,359.1,977.8,,G20,Both2,46,339.6,26.2,
80,7/23/24,2024,Warm,4,Cont,2,G,20,2024_Warm04_Cont02_G20,622.8,1716.4,,G20,Cont2,9,524.9,30,
508,7/23/24,2024,Warm,4,Hyp,2,G,20,2024_Warm04_Hyp02_G20,272.4,781.8,,G20,Hyp2,24,315.1,23.1,
854,7/23/24,2024,Warm,4,Warm,2,G,20,2024_Warm04_Warm02_G20,288.2,733.7,,G20,Warm2,14,247.5,19.1,
1223,7/23/24,2024,Warm,5,Both,2,G,21,2024_Warm05_Both02_G21,253.7,748.8,,G21,Both2,6,308.7,22.9,
83,7/23/24,2024,Warm,5,Cont,2,G,21,2024_Warm05_Cont02_G21,381.2,980.4,,G21,Cont2,30,422,28.3,DEAD
510,7/23/24,2024,Warm,5,Hyp,2,G,21,2024_Warm05_Hyp02_G21,275.1,736.5,,G21,Hyp2,4,260.1,22,
857,7/23/24,2024,Warm,5,Warm,2,G,21,2024_Warm05_Warm02_G21,323.2,795.5,,G21,Warm2,11,296.8,23.4,
1227,7/23/24,2024,Warm,5,Both,2,G,22,2024_Warm05_Both02_G22,256.3,643.2,,G22,Both2,41,291.6,21.5,
87,7/23/24,2024,Warm,5,Cont,2,G,22,2024_Warm05_Cont02_G22,457.4,1363.9,,G22,Cont2,28,566.1,32.5,
515,7/23/24,2024,Warm,5,Hyp,2,G,22,2024_Warm05_Hyp02_G22,293.5,767,,G22,Hyp2,23,307,22.1,
862,7/23/24,2024,Warm,5,Warm,2,G,22,2024_Warm05_Warm02_G22,179.7,463.3,,G22,Warm2,39,143,16,
1230,7/23/24,2024,Warm,6,Both,2,G,23,2024_Warm06_Both02_G23,205.4,570.8,,G23,Both2,32,242.4,19.3,
89,7/23/24,2024,Warm,6,Cont,2,G,23,2024_Warm06_Cont02_G23,325.9,821.7,,G23,Cont2,11,307.7,22.4,
518,7/23/24,2024,Warm,6,Hyp,2,G,23,2024_Warm06_Hyp02_G23,442.5,1109.7,,G23,Hyp2,32,334.9,27.4,
867,7/23/24,2024,Warm,6,Warm,2,G,23,2024_Warm06_Warm02_G23,247.2,560,,G23,Warm2,25,203.8,18.7,
1233,7/23/24,2024,Warm,6,Both,2,G,24,2024_Warm06_Both02_G24,354.3,1057.8,,G24,Both2,20,326,23,
96,7/23/24,2024,Warm,6,Cont,2,G,24,2024_Warm06_Cont02_G24,416,1078.4,,G24,Cont2,12,336,25.6,
522,7/23/24,2024,Warm,6,Hyp,2,G,24,2024_Warm06_Hyp02_G24,143.1,438.2,,G24,Hyp2,46,166.5,18.9,
543,7/23/24,2024,Warm,6,Warm,2,G,24,2024_Warm06_Warm02_G24,311.9,745.3,,G24,Warm2,33,213.1,21.3,
1236,7/24/24,2024,Warm,1,Both,3,G,25,2024_Warm01_Both03_G25,60.3,172.1,,G25,Both3,38,104.4,13.4,
97,7/24/24,2024,Warm,1,Cont,3,G,25,2024_Warm01_Cont03_G25,224.9,561.7,,G25,Cont3,45,181.7,18.7,
529,7/24/24,2024,Warm,1,Hyp,3,G,25,2024_Warm01_Hyp03_G25,189.2,475.7,,G25,Hyp3,21,169.2,16.2,
595,7/24/24,2024,Warm,1,Warm,3,G,25,2024_Warm01_Warm03_G25,217.3,596.8,,G25,Warm3,24,182.4,18.2,
1033,7/24/24,2024,Warm,1,Both,3,G,26,2024_Warm01_Both03_G26,270.7,715.1,,G26,Both3,26,294.7,22.1,
104,7/24/24,2024,Warm,1,Cont,3,G,26,2024_Warm01_Cont03_G26,325.2,766.5,,G26,Cont3,42,243.6,23,
531,7/24/24,2024,Warm,1,Hyp,3,G,26,2024_Warm01_Hyp03_G26,315.8,889,,G26,Hyp3,19,288.7,23.7,
880,7/24/24,2024,Warm,1,Warm,3,G,26,2024_Warm01_Warm03_G26,402.4,907.8,,G26,Warm3,20,262.7,20,
1247,7/24/24,2024,Warm,2,Both,3,G,27,2024_Warm02_Both03_G27,141.9,415.6,,G27,Both3,33,160.7,17.2,
141,7/24/24,2024,Warm,2,Cont,3,G,27,2024_Warm02_Cont03_G27,397.6,996.6,,G27,Cont3,25,319,22.4,
537,7/24/24,2024,Warm,2,Hyp,3,G,27,2024_Warm02_Hyp03_G27,382.9,916.1,,G27,Hyp3,6,269.7,23,
884,7/24/24,2024,Warm,2,Warm,3,G,27,2024_Warm02_Warm03_G27,140.4,330.4,,G27,Warm3,42,134.8,15.9,
1248,7/24/24,2024,Warm,2,Both,3,G,28,2024_Warm02_Both03_G28,95.4,233.2,,G28,Both3,35,124.9,13.9,
143,7/24/24,2024,Warm,2,Cont,3,G,28,2024_Warm02_Cont03_G28,501.6,1443.8,,G28,Cont3,19,525.2,29,
569,7/24/24,2024,Warm,2,Hyp,3,G,28,2024_Warm02_Hyp03_G28,130.2,335.4,,G28,Hyp3,12,162.2,15.5,
886,7/24/24,2024,Warm,2,Warm,3,G,28,2024_Warm02_Warm03_G28,142.1,336.1,,G28,Warm3,48,150.2,15.9,
1253,7/24/24,2024,Warm,3,Both,3,G,29,2024_Warm03_Both03_G29,158.3,457.1,,G29,Both3,13,165,15.8,
181,7/24/24,2024,Warm,3,Cont,3,G,29,2024_Warm03_Cont03_G29,194.3,505.7,,G29,Cont3,20,213.4,22.9,
572,7/24/24,2024,Warm,3,Hyp,3,G,29,2024_Warm03_Hyp03_G29,122.3,295.8,,G29,Hyp3,24,99.5,13.6,
889,7/24/24,2024,Warm,3,Warm,3,G,29,2024_Warm03_Warm03_G29,184.3,575.4,,G29,Warm3,2,316.3,23.3,
1259,7/23/24,2024,Warm,2,Both,1,G,3,2024_Warm02_Both01_G3,518,1281.4,,G3,Both1,3,410.9,29,
11,7/23/24,2024,Warm,2,Cont,1,G,3,2024_Warm02_Cont01_G3,330.2,833.9,,G3,Cont1,15,242.8,21.4,
440,7/23/24,2024,Warm,2,Hyp,1,G,3,2024_Warm02_Hyp01_G3,257.3,689.1,,G3,Hyp1,8,213,17.9,
786,7/23/24,2024,Warm,2,Warm,1,G,3,2024_Warm02_Warm01_G3,357.4,841.7,,G3,Warm1,10,227.8,18.3,
1155,7/24/24,2024,Warm,3,Cont,3,G,30,2024_Warm03_Cont03_G30,114.8,297.8,,G30,Cont3,44,137,15.5,
575,7/24/24,2024,Warm,3,Hyp,3,G,30,2024_Warm03_Hyp03_G30,73.9,187.5,,G30,Hyp3,47,95.4,12.4,
893,7/24/24,2024,Warm,3,Warm,3,G,30,2024_Warm03_Warm03_G30,155.8,402.2,,G30,Warm3,27,178.7,17.3,
361,7/24/24,2024,Warm,4,Both,3,G,31,2024_Warm04_Both03_G31,207.3,581.6,,G31,Both3,3,238.4,19.9,
